username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,mentions,hashtags,geo,urls
AnjaKaradeglija,thewirereport,"I am so psyched to be taking on this project. I'll be following all things telecom, media and #elxn43, starting with this piece in which I look at the prospect of price caps, new rules for @Netflix et al. and a #Huawei 5G ban. Welcoming any questions, suggestions, or comments!https://twitter.com/thewirereport/status/1171488957059612675 …",6,19,2,1171491327873126400,https://twitter.com/AnjaKaradeglija/status/1171491327873126400,114328269,2019-09-10 18:31:12+00:00,Tue Sep 10 18:31:12 +0000 2019,@Netflix,#elxn43 #Huawei,,https://twitter.com/thewirereport/status/1171488957059612675
HopeAldridge,sunlorrie,"Bragging about the large #of #CPC Trolls, Lorrie? The rest of us Canadians are Not as Uninformed & Gullible as the loyal CONs - we know exactly what is going on! #cdnpoli",1,2,0,1171491314023550977,https://twitter.com/HopeAldridge/status/1171491314023550977,292468351,2019-09-10 18:31:09+00:00,Tue Sep 10 18:31:09 +0000 2019,,#of #CPC #cdnpoli,,
liberal_party,,"Join us in welcoming Pam Armstrong as our #TeamTrudeau 2019 candidate for Elgin–Middlesex–London. Congratulations, Pam! #cdnpoli pic.twitter.com/gxegR2Lhgj",20,120,5,1171491290371911682,https://twitter.com/liberal_party/status/1171491290371911682,16397147,2019-09-10 18:31:03+00:00,Tue Sep 10 18:31:03 +0000 2019,,#TeamTrudeau #cdnpoli,,
parti_liberal,,"Souhaitons ensemble la bienvenue à Pam Armstrong dans l' #ÉquipeTrudeau aux élections de 2019 dans Elgin–Middlesex–London. Félicitations, Pam! #polcan pic.twitter.com/8KdHuFsmE1",3,9,1,1171491266640535554,https://twitter.com/parti_liberal/status/1171491266640535554,16397838,2019-09-10 18:30:57+00:00,Tue Sep 10 18:30:57 +0000 2019,,#ÉquipeTrudeau #polcan,,
ziannlum,,"A Seinfeld-inspired reminder that 338 bags of dirt can be *dropped*, but not 338 writs. Writs are issued or drawn up #cdnpoli pic.twitter.com/CE0zvAehBH",0,2,0,1171491201804951553,https://twitter.com/ziannlum/status/1171491201804951553,235463144,2019-09-10 18:30:42+00:00,Tue Sep 10 18:30:42 +0000 2019,,#cdnpoli,,
Learning2GetBy,CPC_HQ,#cdnpoli #elxn43 pic.twitter.com/JUnbcqDVc9,1,1,1,1171491167571103744,https://twitter.com/Learning2GetBy/status/1171491167571103744,4499430739,2019-09-10 18:30:34+00:00,Tue Sep 10 18:30:34 +0000 2019,,#cdnpoli #elxn43,,
CanadianLabour,,Canada’s national newspaper backs universal pharmacare. The milestone support comes at a critical moment. The government will soon be deciding how to make this happen. Read and RT https://tgam.ca/2S1YNfk #aplanforeveryone #cdnpoli #canlabpic.twitter.com/cHfn4kmwQI,5,7,0,1171491160935677953,https://twitter.com/CanadianLabour/status/1171491160935677953,27817680,2019-09-10 18:30:32+00:00,Tue Sep 10 18:30:32 +0000 2019,,#aplanforeveryone #cdnpoli #canlabpic,,https://tgam.ca/2S1YNfk
TheAgenda,,Students put their electoral know-how to the vote https://www.tvo.org/article/students-put-their-electoral-know-how-to-the-vote … by @RockneCorrigan #cdnpoli pic.twitter.com/Rq00mCkRPZ,5,4,0,1171491143688679424,https://twitter.com/TheAgenda/status/1171491143688679424,12599562,2019-09-10 18:30:28+00:00,Tue Sep 10 18:30:28 +0000 2019,@RockneCorrigan,#cdnpoli,,https://www.tvo.org/article/students-put-their-electoral-know-how-to-the-vote
TheSpec,,Here's everything you need to know about the leaders' debate #cdnpoli #Vote2019http://torstar.co/oCHj50w4xee,5,3,0,1171491143260880898,https://twitter.com/TheSpec/status/1171491143260880898,18206318,2019-09-10 18:30:28+00:00,Tue Sep 10 18:30:28 +0000 2019,,#cdnpoli #Vote2019http,,http://torstar.co/oCHj50w4xee
grantwarkentin,hollyanndoan,If you want to keep your head above water this election and follow real issues not MSM spin and partisan bull crap follow @hollyanndoan for the good stuff! #elxn43 https://twitter.com/hollyanndoan/status/1171489100974526464 …,0,0,1,1171491128643743756,https://twitter.com/grantwarkentin/status/1171491128643743756,56836105,2019-09-10 18:30:24+00:00,Tue Sep 10 18:30:24 +0000 2019,@hollyanndoan,#elxn43,,https://twitter.com/hollyanndoan/status/1171489100974526464
Rocinante2112,,Yesterday I received calls from the Federal NDP and the Federal Green Party looking for support. Election is coming. #Soitbegins #cdnpoli,0,1,0,1171491124709474304,https://twitter.com/Rocinante2112/status/1171491124709474304,22420818,2019-09-10 18:30:24+00:00,Tue Sep 10 18:30:24 +0000 2019,,#Soitbegins #cdnpoli,,
page_gould,,"As #elxn43 takes off, the @CBC’s guide to spotting disinformation and misinformation is oh-so important.pic.twitter.com/RpSbuqqLoK",2,6,0,1171491100478955520,https://twitter.com/page_gould/status/1171491100478955520,2318213621,2019-09-10 18:30:18+00:00,Tue Sep 10 18:30:18 +0000 2019,@CBC,#elxn43,,
TanveerNaseer,,"If Andrew Scheer is willing to lie over something as trivial as his parents' income level, how can Canadians #trust him on more serious issues? Another example of poor #leadership by #CPC. Hope Canadians are paying attention. #cdnpoli https://www.narcity.com/news/ca/andrew-scheers-net-worth-might-be-higher-than-we-think … via @NarcityCanada",0,0,0,1171491097970741249,https://twitter.com/TanveerNaseer/status/1171491097970741249,19988765,2019-09-10 18:30:17+00:00,Tue Sep 10 18:30:17 +0000 2019,@NarcityCanada,#trust #leadership #CPC #cdnpoli,,https://www.narcity.com/news/ca/andrew-scheers-net-worth-might-be-higher-than-we-think
mnmtanzania,,Prime Minister #JustinTrudeau will visit Rideau Hall on Wednesday morning to launch the 2019 #federalelection. @CanWaCH & @ResultsCda are telling us why this #election is important for the #globalhealth & #internationaldevelopment sectors. #cdnpoli http://ow.ly/ZYws50w4zOT,0,4,1,1171491056933752837,https://twitter.com/mnmtanzania/status/1171491056933752837,928449955135500288,2019-09-10 18:30:07+00:00,Tue Sep 10 18:30:07 +0000 2019,@CanWaCH @ResultsCda,#JustinTrudeau #federalelection #election #globalhealth #internationaldevelopment #cdnpoli,,http://ow.ly/ZYws50w4zOT
CanadianConJob,,It’s election countdown! DMs are opened for any guerrilla style suggestions about not electing clown next to these other two #cdnpoli #StopScheer #AndrewScheerMustGopic.twitter.com/9VoijQhS5S,3,4,1,1171491022297169920,https://twitter.com/CanadianConJob/status/1171491022297169920,880265227367047168,2019-09-10 18:29:59+00:00,Tue Sep 10 18:29:59 +0000 2019,,#cdnpoli #StopScheer #AndrewScheerMustGopic,,
